variant,threshold,ddos_f1,ddos_precision,ddos_recall,ddos_fpr_non_ddos,benign_fpr,scan_fpr_non_scan,score_99_9
D_all_timing,0.06,0.3342684539943471,0.20067366485068222,1.0,0.1890359083379431,0.13281513619262222,0.0,0.9955434203147888
D_all_timing,0.07,0.3342684539943471,0.20067366485068222,1.0,0.1890359083379431,0.13281513619262222,0.0,0.9955434203147888
D_all_timing,0.08,0.3342684539943471,0.20067366485068222,1.0,0.1890359083379431,0.13281513619262222,0.0,0.9955434203147888
D_all_timing,0.09,0.3342684539943471,0.20067366485068222,1.0,0.1890359083379431,0.13281513619262222,0.0,0.9955434203147888
D_all_timing,0.1,0.3342684539943471,0.20067366485068222,1.0,0.1890359083379431,0.13281513619262222,0.0,0.9955434203147888
D_all_timing,0.11,0.3342684539943471,0.20067366485068222,1.0,0.1890359083379431,0.13281513619262222,0.0,0.9955434203147888
D_all_timing,0.12,0.3342684539943471,0.20067366485068222,1.0,0.1890359083379431,0.13281513619262222,0.0,0.9955434203147888
D_all_timing,0.13,0.3342684539943471,0.20067366485068222,1.0,0.1890359083379431,0.13281513619262222,0.0,0.9955434203147888
D_all_timing,0.14,0.3342684539943471,0.20067366485068222,1.0,0.1890359083379431,0.13281513619262222,0.0,0.9955434203147888
D_all_timing,0.15,0.3342684539943471,0.20067366485068222,1.0,0.1890359083379431,0.13281513619262222,0.0,0.9955434203147888
D_all_timing,0.16,0.3342684539943471,0.20067366485068222,1.0,0.1890359083379431,0.13281513619262222,0.0,0.9955434203147888
D_all_timing,0.17,0.3342684539943471,0.20067366485068222,1.0,0.1890359083379431,0.13281513619262222,0.0,0.9955434203147888
D_all_timing,0.18,0.33447115773339753,0.20081979323649474,1.0,0.1888638212608845,0.1325971319488063,0.0,0.9955434203147888
D_all_timing,0.19,0.33447115773339753,0.20081979323649474,1.0,0.1888638212608845,0.1325971319488063,0.0,0.9955434203147888
D_all_timing,0.2,0.33447115773339753,0.20081979323649474,1.0,0.1888638212608845,0.1325971319488063,0.0,0.9955434203147888
D_all_timing,0.21,0.33447115773339753,0.20081979323649474,1.0,0.1888638212608845,0.1325971319488063,0.0,0.9955434203147888
D_all_timing,0.22,0.33447115773339753,0.20081979323649474,1.0,0.1888638212608845,0.1325971319488063,0.0,0.9955434203147888
D_all_timing,0.23,0.33447115773339753,0.20081979323649474,1.0,0.1888638212608845,0.1325971319488063,0.0,0.9955434203147888
D_all_timing,0.24,0.33618600049468217,0.20205744187429386,1.0,0.18741629460110465,0.13077853422793007,0.0,0.9955434203147888
D_all_timing,0.25,0.33618600049468217,0.20205744187429386,1.0,0.18741629460110465,0.13077853422793007,0.0,0.9955434203147888
D_all_timing,0.26,0.33618600049468217,0.20205744187429386,1.0,0.18741629460110465,0.13077853422793007,0.0,0.9955434203147888
D_all_timing,0.27,0.33618600049468217,0.20205744187429386,1.0,0.18741629460110465,0.13077853422793007,0.0,0.9955434203147888
D_all_timing,0.28,0.33618600049468217,0.20205744187429386,1.0,0.18741629460110465,0.13077853422793007,0.0,0.9955434203147888
D_all_timing,0.29,0.33618600049468217,0.20205744187429386,1.0,0.18741629460110465,0.13077853422793007,0.0,0.9955434203147888
D_all_timing,0.3,0.33618600049468217,0.20205744187429386,1.0,0.18741629460110465,0.13077853422793007,0.0,0.9955434203147888
D_all_timing,0.31,0.33618600049468217,0.20205744187429386,1.0,0.18741629460110465,0.13077853422793007,0.0,0.9955434203147888
D_all_timing,0.32,0.33618600049468217,0.20205744187429386,1.0,0.18741629460110465,0.13077853422793007,0.0,0.9955434203147888
D_all_timing,0.33,0.33618600049468217,0.20205744187429386,1.0,0.18741629460110465,0.13077853422793007,0.0,0.9955434203147888
D_all_timing,0.34,0.33618600049468217,0.20205744187429386,1.0,0.18741629460110465,0.13077853422793007,0.0,0.9955434203147888
D_all_timing,0.35000000000000003,0.33618600049468217,0.20205744187429386,1.0,0.18741629460110465,0.13077853422793007,0.0,0.9955434203147888
D_all_timing,0.36,0.33618600049468217,0.20205744187429386,1.0,0.18741629460110465,0.13077853422793007,0.0,0.9955434203147888
D_all_timing,0.37,0.33618600049468217,0.20205744187429386,1.0,0.18741629460110465,0.13077853422793007,0.0,0.9955434203147888
D_all_timing,0.38,0.33618600049468217,0.20205744187429386,1.0,0.18741629460110465,0.13077853422793007,0.0,0.9955434203147888
D_all_timing,0.39,0.33618600049468217,0.20205744187429386,1.0,0.18741629460110465,0.13077853422793007,0.0,0.9955434203147888
D_all_timing,0.4,0.33618600049468217,0.20205744187429386,1.0,0.18741629460110465,0.13077853422793007,0.0,0.9955434203147888
D_all_timing,0.41000000000000003,0.33618600049468217,0.20205744187429386,1.0,0.18741629460110465,0.13077853422793007,0.0,0.9955434203147888
D_all_timing,0.42,0.33618600049468217,0.20205744187429386,1.0,0.18741629460110465,0.13077853422793007,0.0,0.9955434203147888
D_all_timing,0.43,0.33618600049468217,0.20205744187429386,1.0,0.18741629460110465,0.13077853422793007,0.0,0.9955434203147888
D_all_timing,0.44,0.33618600049468217,0.20205744187429386,1.0,0.18741629460110465,0.13077853422793007,0.0,0.9955434203147888
D_all_timing,0.45,0.33618600049468217,0.20205744187429386,1.0,0.18741629460110465,0.13077853422793007,0.0,0.9955434203147888
D_all_timing,0.46,0.33618600049468217,0.20205744187429386,1.0,0.18741629460110465,0.13077853422793007,0.0,0.9955434203147888
D_all_timing,0.47000000000000003,0.33618600049468217,0.20205744187429386,1.0,0.18741629460110465,0.13077853422793007,0.0,0.9955434203147888
D_all_timing,0.48,0.33618600049468217,0.20205744187429386,1.0,0.18741629460110465,0.13077853422793007,0.0,0.9955434203147888
D_all_timing,0.49,0.33618600049468217,0.20205744187429386,1.0,0.18741629460110465,0.13077853422793007,0.0,0.9955434203147888
D_all_timing,0.5,0.33618600049468217,0.20205744187429386,1.0,0.18741629460110465,0.13077853422793007,0.0,0.9955434203147888
D_all_timing,0.51,0.33618600049468217,0.20205744187429386,1.0,0.18741629460110465,0.13077853422793007,0.0,0.9955434203147888
D_all_timing,0.52,0.33618600049468217,0.20205744187429386,1.0,0.18741629460110465,0.13077853422793007,0.0,0.9955434203147888
D_all_timing,0.53,0.33618600049468217,0.20205744187429386,1.0,0.18741629460110465,0.13077853422793007,0.0,0.9955434203147888
D_all_timing,0.54,0.33618600049468217,0.20205744187429386,1.0,0.18741629460110465,0.13077853422793007,0.0,0.9955434203147888
