population,stage,head,feature,mean_abs_SHAP_log_odds,mean_signed_SHAP_log_odds,n
simulation_benign,base,PORT_SCAN,flow.iat_s_min,0.0,0.0,641
simulation_benign,base,PORT_SCAN,flow.iat_s_max,0.0,0.0,641
simulation_benign,base,PORT_SCAN,flow.psh_count,5.358565807342529,-5.358565807342529,641
simulation_benign,base,PORT_SCAN,flow.urg_count,0.0,0.0,641
simulation_benign,base,PORT_SCAN,flow.rst_count,0.0,0.0,641
simulation_benign,base,PORT_SCAN,mask:flow.packet_count,0.0,0.0,641
simulation_benign,base,PORT_SCAN,mask:flow.duration_s,0.0,0.0,641
simulation_benign,base,PORT_SCAN,mask:flow.pps,0.0,0.0,641
simulation_benign,base,PORT_SCAN,mask:flow.iat_s_mean,0.0,0.0,641
simulation_benign,base,PORT_SCAN,mask:flow.iat_s_min,0.0,0.0,641
simulation_benign,base,PORT_SCAN,mask:flow.iat_s_max,0.0,0.0,641
simulation_benign,base,PORT_SCAN,mask:flow.psh_count,0.0,0.0,641
simulation_benign,base,PORT_SCAN,mask:flow.urg_count,0.0,0.0,641
simulation_benign,base,PORT_SCAN,mask:flow.rst_count,0.0,0.0,641
simulation_benign,base,PORT_SCAN,latent_0,0.0,0.0,641
simulation_benign,base,PORT_SCAN,latent_1,0.0,0.0,641
simulation_benign,base,PORT_SCAN,latent_2,0.0,0.0,641
simulation_benign,base,PORT_SCAN,latent_3,0.0,0.0,641
simulation_benign,base,PORT_SCAN,latent_4,0.0,0.0,641
simulation_benign,base,PORT_SCAN,latent_5,0.0,0.0,641
simulation_benign,base,PORT_SCAN,latent_6,0.0,0.0,641
simulation_benign,base,PORT_SCAN,latent_7,0.0,0.0,641
simulation_benign,base,PORT_SCAN,latent_8,0.0,0.0,641
simulation_benign,base,PORT_SCAN,latent_9,0.0,0.0,641
simulation_benign,base,PORT_SCAN,latent_10,0.0,0.0,641
simulation_benign,base,PORT_SCAN,latent_11,0.0,0.0,641
simulation_benign,base,PORT_SCAN,latent_12,0.0,0.0,641
simulation_benign,base,PORT_SCAN,latent_13,0.0,0.0,641
simulation_benign,base,PORT_SCAN,latent_14,0.0,0.0,641
simulation_benign,base,PORT_SCAN,latent_15,0.0,0.0,641
simulation_benign,base,PORT_SCAN,latent_16,0.0,0.0,641
simulation_benign,base,PORT_SCAN,latent_17,0.0,0.0,641
simulation_benign,base,PORT_SCAN,latent_18,0.0,0.0,641
simulation_benign,base,PORT_SCAN,latent_19,0.0,0.0,641
simulation_benign,base,PORT_SCAN,latent_20,0.0,0.0,641
simulation_benign,base,PORT_SCAN,latent_21,0.0,0.0,641
simulation_benign,base,PORT_SCAN,latent_22,0.0,0.0,641
simulation_benign,base,PORT_SCAN,latent_23,0.0,0.0,641
simulation_benign,base,PORT_SCAN,latent_24,0.0,0.0,641
simulation_benign,base,PORT_SCAN,latent_25,0.0,0.0,641
simulation_benign,base,PORT_SCAN,latent_26,0.0,0.0,641
simulation_benign,base,PORT_SCAN,latent_27,0.0,0.0,641
simulation_benign,base,PORT_SCAN,latent_28,0.0,0.0,641
simulation_benign,base,PORT_SCAN,latent_29,0.0,0.0,641
simulation_benign,base,PORT_SCAN,latent_30,0.0,0.0,641
simulation_benign,base,PORT_SCAN,latent_31,0.0,0.0,641
simulation_benign,base,PORT_SCAN,energy,0.0,0.0,641
simulation_benign,base,PORT_SCAN,ae_error,0.0,0.0,641
simulation_benign,base,PORT_SCAN,iforest,0.0,0.0,641
simulation_benign,base,PORT_SCAN,prototype_distance,0.0,0.0,641
simulation_benign,base,DATA_EXFILTRATION,flow.packet_count,0.0,0.0,641
